○  2023~2025년 기관별 수상작 내역							
기관명	수상연도	수상내역	상금 (만원)	기업명 (기업이 아닐 시 작성X)	참가팀(팀명)	아이템명	아이템 내용(간단히)	활용 공공데이터(대표 2~3개)	분야 (아이디어 기획 / 제품 및 서비스 개발)
산업통상부	2025	최우수상	500	-	성균관대, 고려대	소규모 전력중개사업자(VPP) 수익률 극대화를 위한 다중 태양광 발전소 발전량 예측 모델 (LSTM-Attention 기반 Mixture of Experts(MoE) 아키텍처를 활용하여)	재생에너지 확대에 따른 계통 안정성 확보를 위한 발전량 예측 중요성이 커지고 있다. 이를 위해 본 작품은 Mixture of Experts(MoE) 아키텍처를 활용하여 발전소의 공간적 특성(용량, 운영연수, 위치)에 따라 최적화된 전문가 네트워크(LSTM-Attention)를 동적으로 할당하여 발전량을 예측하였다. 다수의 발전소를 단일 아키텍처로 통합 관리함으로써 예측 정확도를 높이고, 이를 기반으로 소규모 전력중개사업자의 수익을 극대화하는 실질적 사업화 방안을 제시	-	데이터 분석
산업통상부	2025	우수상	300	-	한국서부발전	제주해봄(Jeju-Hae-Bom) - 인공지능 기반 태양광 발전량 예측을 통한 VPP 운영 최적화	제주도 3개 태양광 발전소의 하루 전 발전량을 정확히 예측하기 위해 기상 예측 데이터와 과거 발전량 데이터를 활용한 LightGBM 기반 시계열 모델을 구축했으며, 이를 통해 가상발전소(VPP) 운영 효율성을 높이고 전력 계통 안정성 강화에 기여할 것으로 기대	-	데이터 분석
산업통상부	2025	우수상	300	-	홍익대, 고려대 통계대학원	RAG 기반 생성형 AI를 활용한 수급 리스크 예측 모델 개발	생성형 AI를 활용한 핵심 광물 수급 리스크 예측 모델 개발 RAG를 통해 KOMIS 광물자원동향 보고서 내용을 데이터베이스화한 후, 지정학적 변수를 수치화한 AI 수급 리스크 지수 생성. 이를 자원·시장·기술 변수와 통합하여 TKAN(Temporal Kolmogorov-Arnold Network) 모델을 통해 미래 수급 위기를 선제적으로 예측	-	데이터 분석
산업통상부	2025	장려상	200	-	연세대, 을지대	WeaFine-R	WeaFine-R은 기상 예측값과 실제 관측값 간의 구조적 오차를 정밀 보정하는 XGBoost - SVR 기반의 회귀 모델로, 산업 현장에서 기상 데이터의 활용 정밀도를 향상시킨다. 예측 신뢰도 향상을 통해 에너지 설비 운영의 최적화와 기상 기반 산업의 디지털 전환을 지원	-	데이터 분석
산업통상부	2025	장려상	200	-	개인	복합 모델을 이용한 기상 예측 오차 보정	기상청 예보와 발전소 실측 기상 사이의 오차를 보정하기 위해, 15개월간의 시간별 예보 및 관측 데이터를 활용해 기온·습도·대기압의 예측 오차를 줄이는 복합 모델을 개발하였습니다. 이를 통해 복합발전소의 출력 예측 정밀도를 높이고, 전력시장 입찰의 수익성과 계통 운영의 안정성을 향상시키는 데 기여	-	데이터 분석
산업통상부	2025	장려상	200	-	개인	Residual Stacking 앙상블 기법 기반 환경규제 대응·대기오염물질 지속 관리를 위한 NOₓ 배출 예측 및 운전 최적화 알고리즘	본 작품은 화력발전소 일별 NOₓ 배출량 데이터를 로그 스케일로 정규화·집계한 뒤, Prophet으로 장기 추세를 예측하고 XGBoost로 잔차를 보정하는 Residual Stacking 앙상블 기법을 적용하여 실시간 고정밀 NOₓ 배출 예측 모델을 구현한 분석 도구입니다. 이를 통해, 실시간 알람 및 부하·연료 제어 의사결정을 지원함으로써 환경규제 준수와 연료비 절감 효과를 동시에 달성		데이터 분석
공정거래위원회	2025	대상	200		정진구	프랜차이즈 가맹사업	프랜차이즈 산업의 공정한 거래 환경 조성과 정보 비대칭 해소를 위한 인공지능기반 시스템 구축	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	아이디어 기획
공정거래위원회	2025	대상	100		Dsearch	프랜차이즈 가맹사업	AI가 켜주는 안전거래 신호등 스탑앤고프랜	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	아이디어 기획
공정거래위원회	2025	대상	100		공정누리	프랜차이즈 가맹사업	프랜차이즈 가맹점주를 위해 개인별 AI보험료율을 적용한 맞춤형 폐업보험 제도	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	아이디어 기획
공정거래위원회	2025	대상	100		공진단	프랜차이즈 가맹사업	프랜차이즈 위험진단 플랫폼(Open Franchise) - 예비 창업자를 위한 공정한 선택 도우미	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	아이디어 기획
공정거래위원회	2025	대상	200		RAG결사대	프랜차이즈 가맹사업	프랜차이즈 융복합 데이터를 활용한 인공지능 시스템 구축	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	제품 및 서비스 개발
공정거래위원회	2025	대상	200		Ieggo LAG go	프랜차이즈 가맹사업	복잡한 프랜차이즈? LAGgo가 RAG로 답한다	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	제품 및 서비스 개발
공정거래위원회	2025	대상	200		래브라도리트리버	프랜차이즈 가맹사업	프랜차이즈 정보공개서 기반 온프라미스 시멘틱 Q&amp;A 및 검색시스템	프랜차이즈 기업정보 데이터, 프랜차이즈 영업정보	제품 및 서비스 개발
국토교통부	2025	대상	700		AI빅보스	AI 기반 시니어 보행 안전지도 플랫폼	고령 보행자의 사고 예방을 위해 AI 기반 위험 예측과 실시간 경로 안내 서비스 제공	교토사고이력정보(TAAS), 교통카드이용이력(STCIS), 시니어인구분포(KOSIS)	아이디어 기획
한국도로공사	2025	우수상	300		배프(Beaf)	K-MaaS 연계 교통약자 맞춤형 보행 안내 서비스	K-MaaS 슈퍼무브에 교통약자 맞춤형 보행 안내 서비스 도입. 교통약자의 상황(휠체어 장애인, 임산부, 노약자 등)에 따라 교통 편의시설을 이용한 보행 안내	전국대중교통버스정류장현황(한국교통안전공단), 편의시설현황(서울교통공사), 엘리베이터위치정보(대전교통공사)	제품 및 서비스개발
한국교통연구원	2025	우수상	300		따뜻한코끼리마리오	모두의 택배	물류 취약지역의 주민들을 공동배송 팀에 모으고, 모인 인원 수에 따라 예상 배송일과 페이백 보상을 안내하는 참여형 공동배송 플랫폼	난배송 지역별 택배 추가운임(한국교통연구원)	제품 및 서비스개발
한국철도공사	2025	우수상	300		KRIDA개발팀	KRIDA - Korea Railway Infrastructure Disaster Alert system	철도 시설물의 노후도, 자연재해 위험도, 기상 데이터 등을 통합 분석하여 철도 인프라 재난위험을 사전에 예측·경보하는 시스템	철도사고이력(한국교통안전공단), 지점별,시점별기상데이터(기상청)	제품 및 서비스개발
한국교통안전공단	2025	우수상	300		모두타	교통약자 이동권 증진 위한 데이터 활용 K-MaaS 강화	•교통약자의 이동권 증진을 위한 통합형 교통 수단 플랫폼 앱  •시청각 장애인 앱 접근성 개선 및 스마트 배차/카풀 시스템 활용하여 장애인 콜택시 등 수요공급 불균형 해소	장애인 콜택시 탑승내역(서울시설공단), 대중교통플랫품위치(국토교통부), 실시간도로혼잡도(국가교통정보센터)	아이디어 기획
한국공항공사	2025	우수상	300		버드Don’t 스트라이크	국가 데이터를 활용한 버드스트라이크 예측 기반 실시간 대응 시스템	비행기 엔진 전면에 부착된 다공성 망을 국가 데이터를 활용해 동적으로 제어하고, 국토·교통·항공·환경 데이터 기반으로 버드 스트라이크를 예측·대응하는 실시간 시스템 제안	조류서식시분포데이터(국립생태원), 버드스트라이크사고이력데이터(국토교통부 등), 환경데이터(항공기상청)	아이디어 기획
주택도시보증공사	2025	우수상	300		김은비	주거지 입지 기반 생활환경 불편 예측지도 서비스	주거지 입지를 기준으로 소음, 교통, 환경 등 생활 불편 요인을 사용자 민감도 기반 점수화해 지도에 시각화하는 통합 서비스	교통량통계데이터정보조회서비스(국토교통부), VDS설치정보조회서비스(한국도로공사), 항공기운항정보(한국공항공사)	아이디어 기획
국토교통과학기술진흥원	2025	우수상	300		파크플랜	시계열 기반 공항 주차 수요 예측 플랫폼	자가용 이용 공항 방문객을 대상, 선택한 날짜와 시간대 기준의 주차 가능성(확률·예상 가능 대수)과 시간대별 혼잡도 제공	전국공항실시간주차정보API(한국공항공사), 항공기출도착(국토교통부), 기상청단기예보조회서비스(기상청)	아이디어 기획
한국교통안전공단	2025	특별상	300		박지수	GIS와 교통카드 OD 기반 ABS 시뮬레이션을 활용한 스마트 모빌리티 허브 입지 최적화	ABS(Agent-Based Simulation) 기반 전환 수요 예측을 수행함으로써 UAM과 교통수요에 기반한 스마트 모빌리티 허브 최적 입지를 제안	수치지형도(국토정보플랫폼), 철도GIS(국가교통데이터베이스), 지하철역간OD,환승OD(교통카드빅데이터시스템)	아이디어 기획
병무청	2025	대상	160	㈜인피닉	인피닉	군 장병 맞춤형 영양제 추천 서비스	군 장병의 건강 프로파일을 분석하여 군집화된 장병의 맞춤형 영양소 추천하는 서비스	병역판정검사 신체질량지수(BMI)(병무청), 병역판정검사 결과 데이터 현황(혈액검사)(병무청), 병역판정검사 현황(현역/보충 등)(병무청)	아이디어 기획
병무청	2025	최우수상	130	㈜이스트소프트	데이웨이	기반 군수품 단가 이상치 실시간 탐지 레이더	방위사업청 계약· API를 실시간 수집 후 신규 계약의 단가 이상치 여부를 탐지하여 재-견적·감사에 착수 지원하는 실시간 가격 포렌식 서비스	군수품조달정보 계약정보 API (품목·수량·금액·업체·계약일)(방위사업청), 군수품조달정보 조달계획 API (예정단가·예정수량·예정납기)(방위사업청), 입찰·입찰결과 API (낙찰률·경쟁률)(방위사업청)	아이디어 기획
병무청	2025	우수상	110	-	LifeFrontier	Predictive Solution for Youth Health(PreSol)	20대 남성의 만성·희귀질환 위험을 조기 예측하는 헬스케어 솔루션	병역판정검사 원천(Raw) 데이터(병무청), 4/5급 판정 사유 질병 데이터(병무청), 한국인유전체역학조사사업(KoGES)(질병관리청)	아이디어 기획
경기도	2025	최우수상	500	아이엔		임차in 케어	마이데이터 기반 생성형 AI 임차인 보호 플랫폼	주택 실거래가 정보 등(경기데이터드림)	아이디어 기획
경기도	2025	우수상	300		온플	경기온맵	교통약자 맞춤형 AI 여행 길안내 설계 서비스	경기도 무장애 여행정보 데이터(경기데이터드림), 한국관광공사 무장애 여행 정보(공공데이터포털)	아이디어 기획
경기도	2025	장려상	150		네스팅	키플라	반려동물 장례 후 감정 회복을 돕는 생성형 AI 플랫폼	경기도 반려동물 등록 현황(경기데이터드림), 농림축산식품부 반려동물 장묘업 현황(한국관광공사)	아이디어 기획
경기도	2025	장려상	150	주식회사 벽촌		노동119	직장인과 기업을 위한 생성형 AI 노무 상담 챗봇	경기도 비정규직 근로형태별 성별 주당 근로시간(경기데이터드림), 산재보험 판례 판결문 조회 서비스(근로복지공단), 고용노동관련 법령(고용노동부)	아이디어 기획
경기도	2025	최우수상	600	섬루션		친환경 부표	친환경 부표를 활용한 AI기반 해양 쓰레기 수거 서비스	해양쓰레기 분포도 및 수거 실적 데이터(해양수산부), 기상청 해양기상 정보(기상청), 국립해양조사원 연안 해류 흐름 정보(국립해양조사원)	제품 및 서비스 개발
경기도	2025	우수상	400	㈜블루프로그		sosok	공공데이터 기반 AI 리워드 추천 플랫폼	경기도 카드매출 시간대별 집계, 업종별 카드 가맹점 정보 데이터(경기데이터드림)	제품 및 서비스 개발
경기도	2025	장려상	200		LK Lab.	FreePath AI	AI기반 도시공원 장애물 없는 생활환경 자동평가 플랫폼	경기도 시군별 공원 현황 데이터(경기데이터드림), 경기도 시군별 연령별 인구통계(행정안전부), 지역별 장애인 등록현황(보건복지부)	제품 및 서비스 개발
경기도	2025	장려상	200		캡픽	모두의 운동장	장애인을 위한 맞춤형 AI스포츠 소셜 플랫폼	경기도 장애인 체육시설 현황(경기데이터드림), 장애인스포츠강좌이용권시설인근편의시설정보(국민체육진흥공단), 	제품 및 서비스 개발
경기도	2025	특별상	150	몬드 주식회사		아몬드	SNS콘텐츠 기획과 제작을 돕는 생성형AI마케팅 서비스	open AI gpt-4o, Dalle	(대학생)아이디어 기획
수원시	2025	대상	300		Togyo	미래산업	수원시는 어떤 미래산업을 어떻게 육성해야 할까 연관선 기반의 특허 네트워크를 중심으로	시민약속 매니페스토	아이디어 기획
수원시	2025	최우수상	150		서울대학교 행정학과	쓰레기	수원시 쓰레기 관리 시스템 개선 방안 제안 스마트빈 중심 통합 모델	일평균 유동인구 데이터  수원시 골목길 상권 소상공인 현황	아이디어 기획
수원시	2025	최우수상	150		듀듀끼끼	교통	수원시 교통 불평등 취약성 지수 산출하여  시민 체감 기반 맞춤형 교통정책 방향 설정	인구현황, 인구동태 시내버스노선	아이디어 기획
수원시	2025	최우수상	150		독거청년	1인가구	청년 1인가구를 위한 수원시 공공주택 정책 방향 제시 2030 대학생과 사회초년생을 중심으로	인구현황  주택현황	아이디어 기획
수원시	2025	우수상	50		똑데이터	교통	디지털 약자를 위한 교통복지 혁신 실버 똑버스 제안	인구현황 일평균 유동인구 데이터(GIS)	아이디어 기획
수원시	2025	우수상	50		신밀리	고향	두번째 고향 수원 만들기 경유지에서 정착지로서의 지역정체성 전환 방안	인구현황 인구동태	아이디어 기획
수원시	2025	우수상	50		주차포유	불법주정차	불법 주정차 단속 효율화와 지역 상생을 위한 관리  - 주정차 단속 현황과 상권 특성 분석 기반 정책 제언 -	주정차위반단속위치현황 주정차단속현황 주차장정보	아이디어 기획
수원시	2025	우수상	50		데파데	스포츠문화	시민이 체감할 수 있는 스포츠문화 방향 설정 -4대 프로구단 연계 정책을 중심으로-	일평균 유동인구 데이터 	아이디어 기획
수원시	2025	우수상	50		이영규	교통	노인•장애인 친화형 버스 정류장 리모델링 최적화  및 버스 노선 형성 - 수원시 사례, MCLP 알고리즘 중심으로 -	인구현황 장애인 복지시설 노인복지시설현황 시장 및 마트 현황(경기도)	아이디어 기획
안산시	2025	최우수상	200		강동하, 정남주, 김채연	PM,자전거 사고 위험 분석 시각화	PM 및 자전거 사고 데이터를 활용해 도로 위험 요인을 분석하고, 사고 다발 지역과 구조적 문제를 시각적으로 보여주는 교통안전 정책 지원 대시보드 구축	자전거사고 다발지역 개별사고 정보(한국도로교통공단), 개인형 이동장치 교통사고 정보 (한국도로교통공단), 자전거 도로(안산시), 	아이디어 기획
안산시	2025	우수상	100		정수빈, 유건영	무장애 이동환경 조성 전략	장애인 이동 수요 데이터 분석을 통해 저상버스·무장애 정류장·음향신호기 설치 위치를 선정하는 무장애 이동환경 조성 전략	버스노선별 저상버스유무현황(경기도), 등록장애인 집계현황(안산시), 전국 버스정류장 위치정보	아이디어 기획
안산시	2025	우수상	100		박재현	수요 최적화 버스 노선 제안	안산시 버스 노선의 굴곡도와 수요 데이터를 분석해 저굴곡·고수요의 효율적이고 최적화된 노선 설계	버스정류장 현황(경기도), 노선별 버스 이용객 수(경기도), 수단통행분담률(경기도)	아이디어 기획
안산시	2025	장려상	50		김성환, 양진혁	수요기반 DRT 운행	유동인구와 버스 수요 등 데이터를 분석하여 DRT 필요 지수를 산출하고 우선순위를 기반으로 DRT를 확대도입하여 수요과밀문제 해결 및 교통혼잡 해소	버스정류장 현황(경기도), 버스운행대수(경기도), 유동인구(안산시)	아이디어 기획
안산시	2025	장려상	50		이승찬, 정윤서, 최민엽	미세먼지 집중 관리 구역 설정	환경 데이터와 딥러닝, 공간 통계 기법을 활용한 대기질 진단 및 집중 관리 구역 도출	대기오염정보(한국환경공단), 미세먼지 월별 도시별 대기오염도(국가데이터처)	아이디어 기획
관세청	2025	최우수	100		리틀장보고	초보 화장품 수출자를 위한 데이터 기반 원스톱 수출 지원 플랫폼	관세청 수출입 실적은 활용 수출 유망국 선정의 기초로 이용하고 화장품 성분 규제 확인, 단가 산출, 수출 전략 컨설팅까지의 모든 단계를 원스톱으로 지원	품목별+국가별 데이터, 주간환율, 국가별 화장품 규제, 운임 및 요금 정보, 민간데이터(전자상거래 플랫폼 상품명 가격)	아이디어 기획 부문
관세청	2025	우수	60		신진지평	AI 기반 관세 통합정보시스템: 품목분류 자동화･지능화	AI 자동분류 기능으로 HS Code 예측하고 수출입요건, FTA혜택과 공공기관에서 제공받은 시장정보 등 연계	수출입데이터(품목별/기간별 실적, 품목수출입 금액 및 증감률), 관세·비관세데이터(해외수입요건, 해외관세동향, 국가법령정보), 수출입통계 및 분류사례, 바이어·시장정보	아이디어 기획 부문
관세청	2025	장려	30		위고로컬	K-OSEM: K-특산품 원산지 기반 외국인 맞춤 여행 추천 플랫폼	최근 5년간 국가별로 가장 많이 수출된 품목 트랜드를 데이터와 하여 외국인 관광객의 국가를 대상으로 한국의 상위 수출 품목 기반으로 한국 특산품 원산지를 관광지로 추천	품목별 국가별/시도별 수출입실적, 시군구별 품목별 수출입실적, (관광공사) 연관 관광지 정보, 지역축제 개최현황	아이디어 기획 부문
관세청	2025	최우수	200		CodeHunters	OpenTariff: 다중 에이전트 기반 HS Code 분류 AI 서비스	HS Code 분류 시 LLM 모델 들이 보고서를 만들고, Ai 전문가형 협업 구조를 갖춘 AI 의사결정 보조 시스템	관세법령정보포털(웹) HS해설서 - HS Code별 상품 분류 기준, 해설, 소해설 및 참고사항등 상세한 텍스트 데이터	제품 및 서비스 개발
관세청	2025	우수	140		명동애순이	AI 에이전트 관식이: All-in-One 통합 관세 상담 서비스	관세평가, FAQ, 통관조회 기능을 API연동, AI모델과 멀티 에이전트 시스템을 이용하여 자연어 기반의 Fully Generative 방식으로 24시간 상담서비스 실시	화물통관진행정보, HS 관련 데이터, 관세법령정보시스템	제품 및 서비스 개발
관세청	2025	장려	70		AhaAha	Global Go: 소상공인의 해외 이커머스 시장 등록‧수출을 지원하는 웹 기반 수출지원 플랫폼	입력한 상품 기반으로 유사 품목을 카데고리별 분류하고 AI를 활용하여 수출국가→이커머스 추천→상품 등록가이드(번역) →이커머스 자동 게시 등으로 시장성 및 수출 가능성 분석에 활용	HS부호, 품목번호 별 관세율표, 수출입 무역통계	제품 및 서비스 개발
광주광역시	2025	최우수상	300	은성트래시스㈜	은성트래시스㈜	실시간 도로 열지도 기반 도심 열섬 완화 솔루션	도심내 열섬 현상에 대응하기 위해 광주지역의 도로, 기후, 교통, 인구 데이터를 융합하여 실시간 도로 열지도를 생성하는 AI 기반 솔루션	광주) 교통량 데이터, 도로포장 현황 국가) 실시간 기온/자외선 지수	아이디어 기획
광주광역시	2025	우수상	200	에이티에이아이	에이티에이아이	ReactCare 시스템	직관적 경고(진동·LED)와 자동 알림으로 행동 유도, 관리자 인지 중심 설계로 ‘반응’을 유도하고 ‘정당한 쉼’을 가능하게 하여 위험 가능성을 낮추는 것이 목적인 시스템	광주) 광주광역시 고위험 지표(고혈압·비만율 상위 30%) 국가) NEDIS 응급실 실시간 API(가용 응급실)	아이디어 기획
광주광역시	2025	장려상	100	X	김동엽	에너지큐(EnergyQ)	공공데이터와 AI MCP  를 서버로 구현하여 어느 중소제조업체든 쉽고 간 단하고 저렴하게 전력사용량을 실시간으로 분석하고 맞춤형 절감 방안을 제시함으로 써 기업의 비용 절감과 탄소중립 실현을 동시에 지원하는 ESG 경영 AI 비서	광주) 전기, 가스, 수도 / 발전현황, 제조업종별 전력사용량 국가) 한국환경공단_탄소중립포인트 에너지 사용량 정보	아이디어 기획
광주광역시	2025	특별상	100	콘텐츠팜호미	콘텐츠팜호미	RE:Prompt Builder	공공데이터(OpenAPI)를 활용해 지역 특화 AI 콘텐츠(텍스트·이미지) 자동 생성을 지원하는 시스템	광주) 광주_관광명소정보 openAPI 국가) 문화재청_국가문화유산포털 openAPI	아이디어 기획
광주광역시	2025	특별상	50	X	신농	이미지 AI로 신뢰를 더하는 스마트 농산물 직거래 플랫폼	AI 기반 품질 점수화 기술(CNN 모델)과 공공데이터 기반 가격 예측 알고리즘(EViews 회귀모델)을 결합한 신뢰 기반 농산물 직거래 플랫폼	광주) 광주광역시_서부 농수산물 도매시장 농수산물 거래실적 국가) 전국 도매시장 실시간 경락가격 요약 정보	아이디어 기획
광주광역시	2025	최우수상	500	㈜아이큐온	㈜아이큐온	AI 교통량 조사·분석·예측 통합 플랫폼(AIQ T)	국가 교통량조사를 위한 AI 차종분류 20종, 정확도 95%의 성능으로 기존 10종 분류에서 분류 차종과 정확도를 높여 국가교통량조사에 활용	국가) 국토교통부 도로_교통량데이터 AI 검증용	제품 및 서비스 개발
광주광역시	2025	우수상300 / 특별상 100	400	X	이창민	하이패스 기능이 있는 노인, 시각 장애인 점자 지팡이	노인의 편리한 대중교통 이용을 위한 대중교통 하이패스 지팡이와 시각장애인의 안전한 이동과 일상생활의 편의를 위한 AI 지팡이	광주) 광주광역시 BIS 도착정보, 광주교통공사_운행정보 국가) 국토교통부_배경지도 API	제품 및 서비스 개발
광주광역시	2025	장려상	200	X	링커스	광주 지역의 전시정보 기반 챗봇형 문화홍보 시스템	광주광역시 전시정보 공공데이터를 활용하여, 사용자에게 맞춤형 전시를 추천하고 전시 주최자가 간편하게 정보를 등록할 수 있는 챗봇 기반 홍보 플랫폼을 구축함. 전시 정보 외에도 인근 소상공인 정보를 함께 안내함으로써 문화 소비와 지역 경제를 연결하고자 함	광주) 2025전시일정, 광주광역시_전시시설현황	제품 및 서비스 개발
기후에너지환경부	2025	대상	400	x	함께그린	탄소절감 이동데이터을 활용한 친환경 실천 서비스 어플리케이션	탄소절감 이동데이터을 활용한 친환경 실천 서비스 어플리케이션	탄소중립포인트 데이터, 국토부 대중교통데이터	아이디어 기획
기후에너지환경부	2025	대상	600	HTPeo	HTPeo	플랫폼	혼합률·오염도 기반 환경 데이터 분석형 분리배출 플랫폼	서울시 자치구별 폐기물 발생·처리량, 재활용 비율, 재활용 가능 자원 조사, 인구통계, 온실가스 배출계수, 생활폐기물 관리구역	제품 및 서비스
기후에너지환경부	2025	최우수상	250	x	힘벗	플랫폼	기후 약자를 위한 주택 에너지 알림 비서	에너지 바우처 이용 데이터 (대상자 자격, 에너지 바우처 잔액, 계절별 사용 현황) 한국에너지공단 - 사용자 설문 데이터(가구 구성, 주택 유형, 에너지 사용 습관 등)	아이디어 기획
기후에너지환경부	2025	최우수상	350	스코프	스코프	최적화모델	AI를 활용한 해운 탄소배출 최적화 모델	선박 스펙 데이터, 선박 연료 소비량 관련 데이터 등	제품 및 서비스
기후에너지환경부	2025	우수상	150	x	save plate	거래서비스	공공·민간 데이터를 연계한 실시간 식자재 리퍼브 거래 서비스	온실가스 배출량 산정방법 정보, 연간 온실가스 배출량, RFID 기반 음식물쓰레기 배출정보	아이디어 기획
기후에너지환경부	2025	우수상	150	x	늘해랑	물기흡수매트	압전 기술과 IOT 기술을 활용한 스마트 에코 물기 흡수 매트 서비스 '에코 스텝'	국토교통부 건축 HUB - 건물에너지정보 서비스 API / 행정안전부 - 생활안전지도 추락,낙상사고 / 기상청 - 종관기상관측 실시간 AP	아이디어 기획
기후에너지환경부	2025	우수상	250	x	엔에코	탄소저감기	미세조류 광합성을 이용한 탄소저감기	,한국환경공단_다중이용시설 실내공기질 자동측정망 실시간 정보, 환경부 온실가스종	제품 및 서비스
기후에너지환경부	2025	장려상	50	x	정호정	안전맵	세이프에어 - IoT·AR 기반 대기오염 취약계층 맞춤형 AI 안전 	비산먼지 사업장정보 외 10개	아이디어 기획
기후에너지환경부	2025	장려상	50	한국국토정보공사	나무위키	시뮬레이션	숲의 미래를 그리다: 기후변화 시나리오 기반 시뮬레이션	(국가중점데이터)생태자연도/(공공데이터포털)산림청_임상도(산림공간정보 1:5000),국토교통부_등고선	아이디어 기획
기후에너지환경부	2025	장려상	50	삼성전자	Echois	화학사고 대응앱	케미세이프(환경부 화학물질안전원 데이터를 활용한 화학사고 대응 앱)	환경부 화학물질안전원 사고대피장소목록, 안전관리정보, 화학물질안전관리정보,	아이디어 기획
기후에너지환경부	2025	장려상	100	x	바름연구소	플랫폼	wo-stage ML: 일상 속 시민의 눈으로, 모두 함께 예방하는 싱크홀	환경부 화학물질안전원_화학물질안전관리정보, 환경부 한강홍수통제소_수계코드	제품 및 서비스
기후에너지환경부	2025	장려상	100	한전MCS	ECOTECH	플랫폼	EPR제도와 연계한 재활용품 수거관리시스템	EPR 재활용 시스템 실적 데이터	제품 및 서비스
부산광역시	2025	최우수상	400	이카본	이카본	이카본	디지털 탄소 중립을 위한 웹사이트 탄소 발자국 측정 및 관리 플랫폼	공공기관 웹사이트 주소 목록/부산광역시 대표 홈페이지 방문자 현황/부산광역시 사하구 대표 홈페이지 방문자수	제품 및 서비스 개발
부산광역시	2025	우수상	200	같이가치	같이가치	가치가개	AI 및 빅데이터 기반 시각장애인 보행 보조 서비스 "함께하는 가치, 함께 걷는 가치 가치가개"	부산교통공사 : 승강기 연도별 설치 현황/부산광역시 급경사지 정보/시간대별 지하철 승하차 인원	제품 및 서비스 개발
부산광역시	2025	장려상	100	스코프	스코프	스코프	AI를 활용한 해운 탄소배출 최적화 모델	AIS 데이터/기상 데이터	제품 및 서비스 개발
부산광역시	2025	장려상	100	오키씨	오키씨	AI-BOX	우리동네 안심 부동산 AI-BOX	부동산 실거래가 정보(연간 15만 건), 건축물대장 정보(85만 건)	제품 및 서비스 개발
부산광역시	2025	최우수상	250	비비스로지틱스	비비스로지틱스	sellmix	AI기반 대화형 커머스 기술이 적용된 이커머스 DX 솔루션	유통분야 상품 카테고리 및 속성 분류 데이터 한국유통데이터센터/온라인 상품 거래 통계 데이터 통계청, 한국소비자원	아이디어 기획
부산광역시	2025	우수상	150	  	스루ai	스루ai	AI기술을 활용하여 특허 비전문가를 대상으로 2배 이상 빠르고 저렴한 특허 검색분석출원 플랫폼 서비스	특허청 공공데이터 활용 KIPRIS Plus	아이디어 기획
부산광역시	2025	장려상	100		반짝이	exit mate	exit mate(인공지능 기반 자영업자 폐업 지원 플랫폼)	소상공인365(https://bigdata.sbiz.or.kr/#/hotplace/gis)	아이디어 기획
부산광역시	2025	장려상	100		정숙진	UW-INSIGHT	UW-INSIGHT:생활권 기반 AI 기후예측 플랫폼	기상청 기온, 습도, 미세먼지,일사량	아이디어 기획
여성가족부	2025	대상	300		황이조(ver.2)	AI 기반 청소년 감정•복약관리 챗봇 서비스 - 챗인지	‘챗인지’는 청소년 마약 중독 이후의 정서 방치와 복약 이탈 문제를 해결하기 위해 기획된 AI 챗봇 기반 디지털 사후관리 서비스로서 감정일기, 복약 알림, 약물 정보 탐색, 위험 감정 탐지, 기관 연계 등 5가지 기능을 중심으로 구성되며, 사용자의 감정 상태와 복약 패턴을 기록하고 해석하여 회복 루틴 형성을 지원한다.	■ (여성가족부) 여성가족부_청소년상담복지센터 ■ (여성가족부) 여성가족부_청소년쉼터현황	창업 및 서비스 아이디어
여성가족부	2025	우수상	100		남산아기코끼리	도담도담: AI 기반 예비 부모 개인 맞춤형 지원 플랫폼	 ‘도담도담’은 육아와 출산을 고민하는 모든 사람들의 불안을덜고, 보다 현실적인 판단을 도울 수 있도록 설계된 웹 기반 육아 시뮬레이션 서비스입니다.	■ (여성가족부) 아이돌봄가구원수별소득기준 ■ (고용노동부) 육아휴직급여 지급 기준 및 신청 절차	창업 및 서비스 아이디어
여성가족부	2025	우수상	100		고독제로	1인 가구 고독·위기 위험 예측 모델을 통한 서비스 제안	가구의 한 형태로 자리 잡은 1인 가구의 삶을 윤택하게 만들 수 있도록 예측 모델 기반으로 서비스 앱을 제안한다.	■ (여성가족부) 여성가족부_가족실태조사 ■ (KOSIS) 고독사발생현황 ■ (서울시 병원동행서비스) 서울시 1인 가구 정책 이용자수	AI, 데이터 분석 활용
여성가족부	2025	장려상	50		다가온	Dear Family - 가족 갈등 해소 시뮬레이션	가족 내 갈등 상황에서의 효과적인 소통을 유도하고 관계 회복을 지원하는 기반 대화 코칭 솔루션	■ (여성가족부) 가족실태조사 보고서 ■ (한국보건사회연구원) 가족의 갈등과 대응방안 연구  ■ (AI Hub) 심리상담을 위한 멀티모달 데이터셋	창업 및 서비스 아이디어
